node_id,value_eur_m,derivation,source_id,source_url,period,confidence,notes
gdp_gov_exp_environmental_protection_GF0504_protection_of_biodiversity_and_p3_eur_m,209.4,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0504 - P3)
gdp_gov_exp_environmental_protection_GF0505_randd_environmental_protection_p3_eur_m,75.6,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0505 - P3)
gdp_gov_exp_environmental_protection_GF0506_environmental_protection_nec_p3_eur_m,83.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0506 - P3)
gdp_gov_exp_environmental_protection_other_p3_eur_m,-0.1,gdp_gov_exp_environmental_protection_p3_eur_m - sum(subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Residual (P3)
gdp_gov_exp_housing_community_p3_eur_m,675.6,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF06 - P3)
gdp_gov_exp_housing_community_GF0601_housing_development_p3_eur_m,207.7,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0601 - P3)
gdp_gov_exp_housing_community_GF0602_community_development_p3_eur_m,301.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0602 - P3)
gdp_gov_exp_housing_community_GF0603_water_supply_p3_eur_m,1.8,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0603 - P3)
gdp_gov_exp_housing_community_GF0604_street_lighting_p3_eur_m,20.8,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0604 - P3)
gdp_gov_exp_housing_community_GF0605_randd_housing_and_community_am_p3_eur_m,4.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0605 - P3)
gdp_gov_exp_housing_community_GF0606_housing_and_community_amenitie_p3_eur_m,139.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0606 - P3)
gdp_gov_exp_health_p3_eur_m,15229.6,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF07 - P3)
gdp_gov_exp_health_GF0701_medical_products_appliances_an_p3_eur_m,1210.3,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0701 - P3)
gdp_gov_exp_health_GF0702_outpatient_services_p3_eur_m,3718.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0702 - P3)
gdp_gov_exp_health_GF0703_hospital_services_p3_eur_m,9583.4,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0703 - P3)
gdp_gov_exp_health_GF0704_public_health_services_p3_eur_m,150.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0704 - P3)
gdp_gov_exp_health_GF0705_randd_health_p3_eur_m,212.6,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0705 - P3)
gdp_gov_exp_health_GF0706_health_nec_p3_eur_m,355.3,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0706 - P3)
gdp_gov_exp_recreation_culture_p3_eur_m,1308.0,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF08 - P3)
gdp_gov_exp_recreation_culture_GF0801_recreational_and_sporting_serv_p3_eur_m,419.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0801 - P3)
gdp_gov_exp_recreation_culture_GF0802_cultural_services_p3_eur_m,472.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0802 - P3)
gdp_gov_exp_recreation_culture_GF0803_broadcasting_and_publishing_se_p3_eur_m,187.4,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0803 - P3)
gdp_gov_exp_recreation_culture_GF0804_religious_and_other_community_p3_eur_m,5.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0804 - P3)
gdp_gov_exp_recreation_culture_GF0805_randd_recreation_culture_and_r_p3_eur_m,80.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0805 - P3)
gdp_gov_exp_recreation_culture_GF0806_recreation_culture_and_religio_p3_eur_m,141.6,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0806 - P3)
gdp_gov_exp_recreation_culture_other_p3_eur_m,0.1,gdp_gov_exp_recreation_culture_p3_eur_m - sum(subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Residual (P3)
gdp_gov_exp_education_p3_eur_m,10170.3,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF09 - P3)
gdp_gov_exp_education_GF0901_pre_primary_and_primary_educat_p3_eur_m,4428.4,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0901 - P3)
gdp_gov_exp_education_GF0902_secondary_education_p3_eur_m,4343.6,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0902 - P3)
gdp_gov_exp_education_GF0903_post_secondary_non_tertiary_ed_p3_eur_m,21.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0903 - P3)
gdp_gov_exp_education_GF0904_tertiary_education_p3_eur_m,863.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0904 - P3)
gdp_gov_exp_education_GF0905_education_not_definable_by_lev_p3_eur_m,90.6,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0905 - P3)
gdp_gov_exp_education_GF0906_subsidiary_services_to_educati_p3_eur_m,94.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0906 - P3)
gdp_gov_exp_education_GF0907_randd_education_p3_eur_m,21.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0907 - P3)
gdp_gov_exp_education_GF0908_education_nec_p3_eur_m,306.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0908 - P3)
gdp_gov_exp_education_other_p3_eur_m,0.2,gdp_gov_exp_education_p3_eur_m - sum(subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Residual (P3)
gdp_gov_exp_social_protection_p3_eur_m,1426.6,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF10 - P3)
gdp_gov_exp_social_protection_GF1001_sickness_and_disability_p3_eur_m,18.7,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1001 - P3)
gdp_gov_exp_social_protection_GF1002_old_age_p3_eur_m,84.6,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1002 - P3)
gdp_gov_exp_social_protection_GF1003_survivors_p3_eur_m,10.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1003 - P3)
gdp_gov_exp_social_protection_GF1004_family_and_children_p3_eur_m,623.8,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1004 - P3)
gdp_gov_exp_social_protection_GF1005_unemployment_p3_eur_m,31.8,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1005 - P3)
gdp_gov_exp_social_protection_GF1006_housing_p3_eur_m,34.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1006 - P3)
gdp_gov_exp_social_protection_GF1007_social_exclusion_nec_p3_eur_m,38.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1007 - P3)
gdp_gov_exp_social_protection_GF1008_randd_social_protection_p3_eur_m,0.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1008 - P3)
gdp_gov_exp_social_protection_GF1009_social_protection_nec_p3_eur_m,584.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF1009 - P3)
gdp_gov_exp_social_protection_other_p3_eur_m,-0.1,gdp_gov_exp_social_protection_p3_eur_m - sum(subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Residual (P3)
gdp_gov_exp_other_p3_eur_m,0.1,gdp_gov_exp_total_p3_eur_m - sum(10_divisions),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Residual (P3)
gdp_gov_exp_total_p51g_eur_m,6952.7,sum(10_divisions),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Published Total (P51G)
gdp_gov_exp_general_public_services_p51g_eur_m,842.6,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF01 - P51G)
gdp_gov_exp_general_public_services_GF0101_executive_and_legislative_orga_p51g_eur_m,409.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0101 - P51G)
gdp_gov_exp_general_public_services_GF0102_foreign_economic_aid_p51g_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0102 - P51G)
gdp_gov_exp_general_public_services_GF0103_general_services_p51g_eur_m,45.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0103 - P51G)
gdp_gov_exp_general_public_services_GF0104_basic_research_p51g_eur_m,347.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0104 - P51G)
gdp_gov_exp_general_public_services_GF0105_randd_general_public_services_p51g_eur_m,20.4,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0105 - P51G)
