"source_row_number","sto_code","cust_breakdown","row_type","tax_name_pt","tax_name_en","economic_function","at_ep_tax_flag","value_2023_raw","value_2023_eur_m","is_missing_2023"
"32","D214A","C05","leaf","Contribuição sobre os sacos de plástico leves (produção nacional)","Excise duties on lightweight plastic bags","C","P/RS","0.56","0.56","no"
"33","D214A","C06","leaf","Imposto sobre as bebidas adicionadas de açúcar ou outros edulcorantes (produção nacional)","Excise duties on beverages with added sugar or other sweeteners","C","_Z","39.71","39.71","no"
"34","D214A","C07","leaf","Taxa sobre embalagens não reutilizáveis - ECOL-EMB (produção nacional)","Fee on non-reusable beverage packaging","C","P/RS","2.24","2.24","no"
"35","D214A","C08","leaf","Imposto sobre os produtos petrolíferos e energéticos","Tax on oil and energy products","C","E","3239.15","3239.15","no"
"36","D214A","C09","leaf","Contribuição sobre as embalagens de utilização única","Excise duties on single-use packages","C","P/RS","3.31","3.31","no"
"37","D214B","_T","aggregate","Imposto do selo","Stamp taxes","_Z","_Z","1888.43","1888.43","no"
"39","D214B","C02","leaf","Imposto do selo sobre operações bancárias","Stamp duty on bank transactions","KS","O","636.64","636.64","no"
"40","D214B","C03","leaf","Imposto do selo sobre prémios de seguro","Stamp duty on insurance premiums","KS","O","502.71","502.71","no"
"41","D214B","C04","leaf","Imposto do selo sobre serviços recreativos","Stamp duty on entertainment services","KS","O","197.99","197.99","no"
"42","D214B","C05","leaf","Imposto do selo sobre arrendamento de prédios","Stamp duty on leasing of buildings","KS","O","18.30","18.3","no"
"43","D214B","C06","leaf","Imposto do selo sobre operações de endividamento","Stamp duty on debt related operations","KS","O","10.93","10.93","no"
"44","D214B","C07","leaf","Imposto do selo sobre escrituras e hipotecas","Stamp duty on registrations and mortgages","KS","O","2.93","2.93","no"
"45","D214B","C08","leaf","Imposto do selo sobre operações de compra e venda","Stamp duty on commercial transactions","KS","O","506.08","506.08","no"
"47","D214B","C10","leaf","Imposto do selo - diversos","Stamp duty - miscellaneous","KS","O","12.85","12.85","no"
"48","D214C","_T","aggregate","Imposto sobre operações financeiras e de capital","Taxes on financial and capital transactions","_Z","_Z","1676.39","1676.39","no"
"49","D214C","C01","leaf","Imposto municipal sobre as transmissões onerosas de imóveis (IMT)","Real estate transfer tax - Local Government","KS","O","1676.39","1676.39","no"
"50","D214D","_T","aggregate","Impostos sobre o registo de automóveis","Car registration taxes","_Z","_Z","476.85","476.85","no"
"51","D214D","C01","leaf","Imposto sobre veículos (ISV)","Tax on motor vehicle sales","C","T","476.85","476.85","no"
"54","D214F","_T","aggregate","Impostos sobre lotarias, jogos e apostas","Taxes on lotteries, gambling and betting","_Z","_Z","387.78","387.78","no"
"55","D214F","C01","leaf","Imposto especial de jogo","Special gambling tax","C","_Z","387.78","387.78","no"
"56","D214G","_T","aggregate","Impostos sobre prémios de seguros","Taxes on insurance premiums","_Z","_Z","351.83","351.83","no"
"57","D214G","C01","leaf","Contribuição sobre prémios de seguros de vida e de não vida destinada ao sistema nacional de proteção civil e emergência médica","Fee on life and non life insurance premiums intended to the national system of civil protection and medical emergency","C","_Z","205.97","205.97","no"
"58","D214G","C02","leaf","Contribuição sobre os prémios comerciais de contratos de seguro automóvel destinada à Prevenção Rodoviária","Fee on motor vehicle insurance premiums intended to Road Safety","C","_Z","4.81","4.81","no"
"59","D214G","C03","leaf","Contribuição sobre os prémios comerciais da cobertura obrigatória do seguro de responsabilidade civil automóvel destinada ao Fundo de Garantia Automóvel","Fee on motor vehicle liability insurance premiums intended to the Motor Vehicle Guarantee Fund","C","_Z","28.85","28.85","no"
"60","D214G","C04","leaf","Contribuição sobre os prémios de acidentes de trabalho destinada ao Fundo de Acidentes de Trabalho","Fee on occupational accident insurance premiums intended to the Occupational Accident Fund","C","_Z","111.77","111.77","no"
"61","D214G","C05","leaf","Contribuição sobre os prémios de seguros agrícolas destinada ao Fundo de Calamidades","Fee on agricultural insurance premiums intended to the Calamities Fund","C","_Z","0.43","0.43","no"
"62","D214H","_T","aggregate","Outros impostos sobre serviços específicos","Other taxes on specific services","_Z","_Z","133.87","133.87","no"
"63","D214H","C01","leaf","Taxa de exploração sobre as instalações elétricas","Fee on electric installations","C","E","16.37","16.37","no"
"64","D214H","C02","leaf","Taxa de segurança sobre os passageiros do transporte aéreo","Security fee on air travel passengers","C","_Z","95.90","95.9","no"
"65","D214H","C03","leaf","Taxa de exibição sobre a publicidade comercial","Exhibit fee on commercial advertising","C","_Z","21.60","21.6","no"
"67","D214I","_T","aggregate","Impostos gerais sobre as vendas","General sales or turnover taxes","_Z","_Z","31.37","31.37","no"
"69","D214I","C02","leaf","Compensação devida pela reprodução ou gravação de obras","Private copying levy","C","_Z","31.37","31.37","no"
"70","D214J","_T","aggregate","Lucros dos monopólios fiscais","Profits of fiscal monopolies","_Z","_Z","687.20","687.2","no"
"71","D214J","C01","leaf","Lucros do Departamento de Jogos da SCML","Profits of mutual betting and gambling agency","C","_Z","687.20","687.2","no"
"73","D214L","_T","aggregate","Outros impostos sobre os produtos não especificados","Other taxes on products n.e.c.","_Z","_Z","54.25","54.25","no"
"75","D214L","C02","leaf","Taxa de promoção e certificação de produtos vínicos","Promotion and certification fee on wine products","C","_Z","10.80","10.8","no"
"76","D214L","C03","leaf","Taxa de certificação sobre o Vinho do Porto","Certification fee on Port Wine","C","_Z","4.23","4.23","no"
"77","D214L","C04","leaf","Taxa sobre a comercialização de produtos, aparelhos e equipamentos médicos","Fee on sales of medical products, appliances and equipment","C","_Z","0.49","0.49","no"
"78","D214L","C05","leaf","Taxa sobre lâmpadas de baixa eficiência energética","Fee on low energetic efficient light bulbs","C","E","0.00","0","no"
"81","D214L","C08","leaf","Prestação para a constituição e manutenção obrigatória de reservas de produtos petrolíferos","Fee for the obligatory establishment and maintenance of reserves of petroleum products","KS","E","38.72","38.72","no"
"82","D29","_T","aggregate","Outros impostos sobre a produção","Other taxes on production","_Z","_Z","3802.68","3802.68","no"
"83","D29A","_T","aggregate","Impostos sobre a propriedade ou utilização de terrenos, edifícios ou outras estruturas","Taxes on land, buildings or other structures","_Z","_Z","1662.79","1662.79","no"
"84","D29A","C01","leaf","Imposto municipal sobre imóveis (IMI)","Real estate tax - Local Government","KS","RP","1629.56","1629.56","no"
"85","D29A","C02","leaf","Taxa de regulação das infraestruturas rodoviárias","Regulation fee on road infrastructures","KS","_Z","5.72","5.72","no"
"87","D29A","C04","leaf","Taxa de regulação das infraestruturas portuárias","Regulation fee on port infrastructures","KS","_Z","0.54","0.54","no"
"88","D29A","C05","leaf","Taxa de segurança alimentar mais","Food safety fee","KS","O","15.83","15.83","no"
"89","D29A","C06","leaf","Taxa de registo dos certificados energéticos de edifícios","Registration fee of energy certificates for buildings","KS","O","10.66","10.66","no"
"90","D29A","C07","leaf","Taxa municipal de proteção civil","Municipal tax of civil protection","KS","O","0.48","0.48","no"
"91","D29B","_T","aggregate","Impostos sobre a utilização de ativos fixos para fins de produção","Taxes on the use of fixed assets","_Z","_Z","670.05","670.05","no"
"95","D29B","C04","leaf","Imposto único de circulação","Unified circulation tax","KS","T","557.24","557.24","no"
"96","D29B","C05","leaf","Taxa do sistema de gestão dos consumos intensivos de energia","Fee of the management system of intensive energy consumptions","KS","E","0.08","0.08","no"
"97","D29B","C06","leaf","Contribuição extraordinária sobre o setor energético","Extraordinary contribution on energy industry","KS","_Z","112.73","112.73","no"
"101","D29E","_T","aggregate","Impostos pagos pelas empresas pela obtenção de licenças comerciais ou profissionais","Business and professional licences","_Z","_Z","161.96","161.96","no"
"102","D29E","C01","leaf","Taxas sobre espectáculos e divertimentos públicos","Fees on public entertainments","KS","_Z","0.62","0.62","no"
"103","D29E","C02","leaf","Taxas de legalização e de concessão do direito de plantação de vinha","Fees for legalization and granting of rights to planting vines","KS","_Z","0.41","0.41","no"
"104","D29E","C03","leaf","Taxa de licenciamento anual para o exercício da pesca e utilização das artes","Fishery license fee","KS","P/RS","1.10","1.1","no"
"105","D29E","C04","leaf","Serviços gerais e licenças concedidas às empresas","General services and licenses granted to corporations","KS","_Z","18.59","18.59","no"
"106","D29E","C05","leaf","Taxa de utilização de frequências","Fee on use of communication frequencies","KS","_Z","73.96","73.96","no"
"107","D29E","C06","leaf","Taxa anual sobre a atividade de fornecedor de redes e serviços de comunicações electrónicas","Annual fee on activities related to services in electronic communications","KS","_Z","39.77","39.77","no"
"108","D29E","C07","leaf","Taxa sobre a atividade de prestador de serviços postais explorados em concorrência","Fee on activities related to postal services","KS","_Z","2.53","2.53","no"
"109","D29E","C08","leaf","Taxa sobre instaladores e outras entidades relacionadas com Infra-estruturas de Telecomunicações em Edifícios (ITED)","Fee for registry of  entities related to Telecommunications Infrastructure in Buildings","KS","_Z","0.02","0.02","no"
"110","D29E","C09","leaf","Taxa pela atribuição de títulos habilitadores aos operadores de rádio e de televisão","Licence on radio and television operators","KS","_Z","0.19","0.19","no"
"111","D29E","C10","leaf","Taxas sobre atividades de transporte rodoviário","Fees on road transport activities","KS","_Z","6.78","6.78","no"
"112","D29E","C11","leaf","Taxa de registo de prestadores de cuidados de saúde","Fee for the registration of health care providers","KS","_Z","9.69","9.69","no"
"113","D29E","C12","leaf","Tarifas do Sistema de Identificação Electrónica de Veículos","Fees for the System of Electronic Identification of Vehicles","KS","_Z","0.63","0.63","no"
"114","D29E","C13","leaf","Contribuição de regulação e supervisão sobre a atividade de transporte individual em veículos descaracterizados (TVDE)","Regulation and supervision fee on the activity of individual transport in uncharacterized vehicles","KS","_Z","7.66","7.66","no"
"115","D29F","_T","aggregate","Impostos sobre a poluição resultante das atividades produtivas","Taxes on pollution","_Z","_Z","680.32","680.32","no"
"116","D29F","C01","leaf","Taxa recursos hídricos","Fee for the use of water resources","C","P/RS","4.51","4.51","no"
"117","D29F","C02","leaf","Licença Especial de Ruído","Tax on noise","C","P/RS","2.60","2.6","no"
"118","D29F","C03","leaf","Licenças de emissão de gases com efeito de estufa","Carbon trading rights","C","E","673.21","673.21","no"
"120","D29H","_T","aggregate","Outros impostos sobre a produção não especificados","Other taxes on production n.e.c.","_Z","_Z","627.57","627.57","no"
"121","D29H","C01","leaf","Dívidas de impostos indirectos regularizadas ou cobradas coercivamente","Tax arrears received","KS","_Z","4.54","4.54","no"
"122","D29H","C02","leaf","Outros impostos indirectos","Other miscellaneous taxes on production","KS","_Z","0.16","0.16","no"
"123","D29H","C03","leaf","Taxa anual sobre os operadores de serviços de televisão por subscrição","Annual fee on subscription television service operators","KS","_Z","9.38","9.38","no"
"125","D29H","C05","leaf","Contribuição sobre a indústria farmacêutica","Contribution on pharmaceutical industry","KS","_Z","36.44","36.44","no"
"126","D29H","C06","leaf","Contribuição sobre as entidades concessionárias das redes de transporte de energia","Contribution on concessionaires of power grids","KS","_Z","13.13","13.13","no"
"127","D29H","C07","leaf","Taxa sobre operações de concentração","Fee on merger operations","KS","_Z","1.23","1.23","no"
"128","D29H","C08","leaf","Taxa de regulação dos serviços de águas e resíduos","Regulatory fee on water and waste services","KS","P/RS","6.24","6.24","no"
"129","D29H","C09","leaf","Taxa de regulação da qualidade da água para consumo humano","Regulatory fee on quality of water for human consumption","KS","P/RS","2.63","2.63","no"
